Name,Address,Phone,Fax,Longitude,Latitude
La Quinta Inn & Suites Columbus - Edinburgh,"101 Carrie Lane,
Columbus, IN 47201",1-812-379-4657,1-812-379-4659,-85.960945,39.198966
La Quinta Inn & Suites Columbus North,"1711 Rollins Way,
Columbus, GA 31904",1-800-753-3757,1-706-225-1019,-84.971236,32.536073
La Quinta Inn Columbus Fort Benning,"3201 Macon Rd, Suite A,
Columbus, GA 31906-1717",1-706-568-1740,1-706-569-7434,-84.941343,32.483085
La Quinta Inn & Suites Columbus State University,"2919 Warm Springs Rd,
Columbus, GA 31909",1-706-323-4344,1-706-596-9622,-84.948231,32.505224
La Quinta Inn & Suites Columbus West - Hilliard,"5510 Trabue Rd,
Columbus, OH 43228",1-614-878-8844,1-614-878-8693,-83.146319,39.980607
La Quinta Inn & Suites Columbus,"2427 Hwy 71 South,
Columbus, TX 78934",1-979-733-0522,1-979-733-0532,-96.538698,29.690313
La Quinta Inn & Suites Conroe,"4006 Sprayberry Ln,
Conroe, TX 77303",1-936-228-0790,1-936-228-0792,-95.48315,30.367483
La Quinta Inn & Suites Conway,"2350 Sanders Road,
Conway, AR 72032",1-501-328-5100,1-501-328-5170,-92.437121,35.111584
La Quinta Inn & Suites Cookeville,"1131 South Jefferson Ave,
Cookeville, TN 38501",1-931-520-3800,1-931-520-0030,-85.50473,36.133118
La Quinta Inn & Suites Coral Springs University Dr,"3701 University Dr,
Coral Springs, FL 33065",1-954-753-9000,1-954-755-4012,-80.249797,26.274424
La Quinta Inn & Suites Corpus Christi Airport,"546 South Padre Island Dr,
Corpus Christi, TX 78405",1-361-299-2600,1-361-299-2601,-97.460103,27.756736
La Quinta Inn & Suites Corpus Christi-N Padre Isl.,"14430 South Padre Island Drive,
Corpus Christi, TX 78418",1-361-949-9777,1-361-949-9795,-97.221232,27.620967
La Quinta Inn Corpus Christi North,"5155 I-37 North,
Corpus Christi, TX 78408-2614",1-361-888-5721,1-361-888-5401,-97.45181,27.80309
La Quinta Inn & Suites Corpus Christi Northwest,"10446 IH37 Access Rd,
Corpus Christi, TX 78410",1-361-241-4245,1-361-241-4267,-97.571619,27.8477
La Quinta Inn & Suites Corpus Christi - Portland,"201 Buddy Ganem Drive,
Portland, TX 78374",1-361-777-2777,1-361-777-2999,-97.310534,27.898401
La Quinta Inn Corpus Christi South,"6225 South Padre Island Dr,
Corpus Christi, TX 78412-4011",1-361-991-5730,1-361-993-1578,-97.358856,27.701641
La Quinta Inn & Suites Corsicana,"2020 Regal Dr,
Corsicana, TX 75109",1-903-874-6292,1-903-874,-96.440311,32.100185
La Quinta Inn & Suites Cotulla,"677 N. Baylor Ave.,
Cotulla, TX 78014",1-830-879-2200,1-830-879-2201,-99.244899,28.444643
La Quinta Inn & Suites Coventry/Providence,"4 Universal Blvd,
Coventry, RI 02816",1-401-821-3322,1-401-821-3344,-71.549986,41.662895
La Quinta Inn & Suites Covington,"9159 Access Rd NW ,
Covington, GA 30014",1-770-784-9200,1-770-784-9444,-83.883751,33.608474
La Quinta Inn & Suites Cullman,"2054 St. Joseph Drive,
Cullman, AL 35058",1-256-775-9500,1-256-775-9799,-86.8737453,34.2094288
La Quinta Inn & Suites Houston Cypress,"27130 Hwy 290,
Cypress, TX 77429",1-281-304-2711,1-832-334-5086,-95.720083,29.981833
La Quinta Inn & Suites Dalhart,"801 Liberal Street,
Dalhart, TX 79022",1-806-249-1145,1-806-244-3787,-102.514407,36.069353
La Quinta Inn & Suites Dallas Arlington South,"4001 Scots Legacy Dr,
Arlington, TX 76015",1-817-467-7756,1-817-467-5255,-97.123011,32.678811
La Quinta Inn & Suites Dallas - Richardson,"13175 North Central Expressway,
Dallas, TX 75243",1-972-480-9000,1-972-480-9002,-96.763272,32.92832
La Quinta Inn & Suites Dallas DFW Airport North,"4850 West John Carpenter Frwy,
Irving, TX 75063",1-972-915-4022,1-972-915-6960,-97.015725,32.917773
La Quinta Inn & Suites Dallas Downtown,"302 S. Houston St.,
Dallas, TX 75202",1-214-761-9090,1-214-761-0740,-96.807075,32.777244
La Quinta Inn & Suites Dallas Grand Prairie North,"380 E Palace Parkway,
Grand Prairie, TX 75050",1-469-999-0875,1-469-999-0851,-97.006275,32.7613
La Quinta Inn & Suites Dallas Grand Prairie South,"2131 West I-20,
Grand Prairie, TX 75052",1-214-412-3220,1-214-412-3407,-97.032093,32.675316
La Quinta Inn & Suites Dallas - Hutchins,"1000 Dowdy Ferry Rd,
Hutchins, TX 75141",1-214-269-1015,1-214-269-1016,-96.705499,32.649274
La Quinta Inn & Suites Dallas I-35 Walnut Hill Ln,"2421 Walnut Hill Lane,
Dallas, TX 75229",1-972-247-8530,1-972-247-8550,-96.896675,32.882208
La Quinta Inn & Suites Dallas - Las Colinas,"4225 North MacArthur Blvd,
Irving, TX 75038",1-972-261-4900,1-972-258-6330,-96.959806,32.865663
La Quinta Inn & Suites Dallas Love Field,"8300 John W. Carpenter Fwy.,
Dallas, TX 75247",1-214-414-9000,1-214-210-0157,-96.876888,32.822708
La Quinta Inn & Suites Dallas Mesquite,"118 East US Hwy 80,
Mesquite, TX 75149",1-972-216-7460,1-972-288-4430,-96.59466,32.78878
La Quinta Inn & Suites Dallas North Central,"10001 North Central Expressway,
Dallas, TX 75231-4103",1-214-361-8200,1-214-691-0482,-96.770662,32.883259
La Quinta Inn & Suites Dallas Northeast-Arboretum,"1310 Marketplace Dr.,
Garland, TX 75041",1-972-210-5331,NA,-96.647886,32.85924
La Quinta Inn & Suites Dallas Plano West,"4800 West Plano Pkwy,
Plano, TX 75093",1-972-599-0700,1-972-599-1361,-96.792346,33.015717
La Quinta Inn Dallas Uptown,"4440 North Central Expressway,
Dallas, TX 75206-6525",1-214-821-4220,1-214-821-7685,-96.786536,32.819817
La Quinta Inn & Suites Dalton,"715 College Dr,
Dalton, GA 30720",1-706-272-9099,1-706-272-9003,-85.002815,34.768674
La Quinta Inn & Suites Danbury,"116 Newtown Rd,
Danbury, CT 06810",1-203-798-1200,1-203-794-1542,-73.407007,41.415971
La Quinta Inn Davenport & Conference Center,"3330 East Kimberly Rd,
Davenport, IA 52807",1-563-359-3921,1-563-359-1912,-90.52328,41.55219
La Quinta Inn & Suites Davis,"1771 Research Park Dr,
Davis, CA 95618",1-530-758-2600,1-530-758-1771,-121.731177,38.540847
La Quinta Inn & Suites Dayton North - Tipp City,"19 Weller Dr,
Tipp City, OH 45371",1-937-667-1574,1-937-667-0298,-84.191801,39.962593
La Quinta Inn Daytona Beach/International Speedway,"2725 W. International Speedway Blvd,
Daytona Beach, FL 32114",1-386-255-7412,1-386-255-5350,-81.081998,29.173332
La Quinta Inn Decatur,"918 Beltline Rd Southwest,
Decatur, AL 35601",1-256-355-9977,1-256-353-4494,-87.002116,34.56093
La Quinta Inn & Suites Decatur,"1405 South Hwy 287,
Decatur, TX 76234",1-940-627-9603,1-940-627-9609,-97.58883,33.22082
La Quinta Inn & Suites Deer Park,"1400 East Blvd,
Deer Park, TX 77536",1-281-476-5300,1-281-476-9297,-95.099553,29.699042
La Quinta Inn Deerfield Beach I-95 at Hillsboro E,"351 West Hillsboro Blvd,
Deerfield Beach, FL 33441-1801",1-954-421-1004,1-954-427-8069,-80.109547,26.319618
La Quinta Inn & Suites Deerfield Beach I-95,"100 Southwest 12th Ave,
Deerfield Beach, FL 33442",1-954-428-0661,1-954-427-6701,-80.11924,26.31657
La Quinta Inn Del Rio,"2005 Veterans Blvd,
Del Rio, TX 78840",1-830-775-7591,1-830-774-0809,-100.905443,29.383947
La Quinta Inn & Suites Deming,"4300 East Pine St,
Deming, NM 88030",1-575-546-0600,1-575-544-8200,-107.71328,32.2716
La Quinta Inn & Suites Denison - North Lake Texoma,"801 US Highway 75 North,
Denison, TX 75020",1-903-464-0340,1-903-462-0612,-96.58695,33.76482
La Quinta Inn & Suites Denton - University Drive,"4465 North I-35,
Denton, TX 76207",1-940-808-0444,1-940-808-0437,-97.176624,33.236448
La Quinta Inn & Suites Denver Airport DIA,"6801 Tower Rd,
Denver, CO 80249-6327",1-303-371-0888,1-303-371-0807,-104.772169,39.820158
La Quinta Inn Denver Aurora,"1011 South Abilene St,
Aurora, CO 80012",1-303-337-0206,1-303-750-9738,-104.826631,39.69831
La Quinta Inn & Suites Denver Boulder - Louisville,"902 West Dillon Rd,
Louisville, CO 80027",1-303-664-0100,1-303-664-1100,-105.162113,39.958948
La Quinta Inn Denver Central,"3500 Park Ave West,
Denver, CO 80216-5126",1-303-458-1222,1-303-433-2246,-104.994244,39.766273
La Quinta Inn Denver Cherry Creek,"1975 South Colorado Blvd,
Denver, CO 80222-7902",1-303-758-8886,1-303-756-2711,-104.940977,39.680346
La Quinta Inn & Suites Denver Englewood Tech Ctr,"9009 East Arapahoe Rd,
Greenwood Village, CO 80112",1-303-799-4555,1-303-792-3377,-104.884464,39.596035
La Quinta Inn & Suites Denver Gateway Park,"4460 Peoria Street,
Denver, CO 80239",1-303-373-2525,1-303-371-3040,-104.845888,39.776908
La Quinta Inn Denver Golden,"3301 Youngfield Service Rd,
Golden, CO 80401",1-303-279-5565,1-303-279-5841,-105.144802,39.76366
La Quinta Inn Denver Northglenn,"345 West 120th Ave,
Westminster, CO 80234-2906",1-303-252-9800,1-303-452-9705,-104.991338,39.914681
La Quinta Inn & Suites Denver Southwest Lakewood,"7190 West Hampden Ave,
Lakewood, CO 80227",1-303-969-9700,1-303-969-9733,-105.076236,39.65237
La Quinta Inn & Suites Denver Tech Center,"7077 South Clinton St,
Greenwood Village, CO 80112",1-303-649-9969,1-303-649-9959,-104.878801,39.588303
La Quinta Inn Denver Westminster,"8701 Turnpike Dr,
Westminster, CO 80030",1-303-425-9099,1-303-427-5860,-105.051831,39.852979
La Quinta Inn & Suites Des Moines West Clive,"1390 Northwest 118th St,
Clive, IA 50325",1-515-221-9200,1-515-221-0800,-93.77979,41.602503
La Quinta Inn & Suites Dallas South-DeSoto,"641 North I-35 East,
DeSoto, TX 75115",1-972-920-0100,1-972-920-0111,-96.824712,32.601089
La Quinta Inn Detroit Canton,"41211 Ford Rd,
Canton, MI 48187",1-734-981-1808,1-734-981-7150,-83.446988,42.321593
La Quinta Inn & Suites Detroit Metro Airport,"30847 Flynn Dr,
Romulus, MI 48174",1-734-721-1100,1-734-721-9915,-83.341765,42.243165
La Quinta Inn Detroit Southgate,"12888 Reeck Rd,
Southgate, MI 48195",1-734-374-3000,1-734-374-3010,-83.226277,42.213395
La Quinta Inn & Suites Detroit Utica,"45311 Park Ave,
Utica, MI 48315",1-586-731-4700,1-586-731-9870,-83.010265,42.628264
La Quinta Inn & Suites DFW Airport South / Irving,"4105 West Airport Fwy,
Irving, TX 75062",1-972-252-6546,1-972-570-4225,-97.00747,32.837684
La Quinta Inn & Suites DFW Airport West - Bedford,"1809 Hwy 121,
Bedford, TX 76021",1-817-545-8105,1-817-545-8143,-97.122387,32.839528
La Quinta Inn & Suites DFW Airport West - Euless,"431 Airport Fwy,
Euless, TX 76040",1-817-836-4000,1-817-836-4001,-97.089123,32.836208
La Quinta Inn & Suites Dickinson,"552 12th Street West,
Dickinson, ND 58601",1-701-456-2500,1-701-456-2501,-102.79322,46.894962
La Quinta Inn & Suites Dodge City,"2400 West Wyatt Earp Blvd,
Dodge City, KS 67801",1-620-225-7373,1-620-225-0008,-100.047327,37.754532
La Quinta Inn & Suites Dothan,"3593 Ross Clark Circle,
Dothan, AL 36303",1-334-793-9090,1-334-793-4367,-85.426361,31.248682
La Quinta Inn & Suites Dublin - Pleasanton,"6275 Dublin Blvd,
Dublin, CA 94568",1-925-828-9393,1-925-828-9002,-121.907895,37.706195
La Quinta Inn & Suites Dublin,"101 Travel Center Blvd,
Dublin, GA 31021",1-478-272-3110,1-478-272-3189,-82.93876,32.48694
La Quinta Inn & Suites Duluth,"1805 Maple Grove Road,
Duluth, MN 55811",1-218-722-0700,1-218-722-0701,-92.164386,46.810138
La Quinta Inn & Suites Dumas,"1912 South Dumas Ave,
Dumas, TX 79029",1-806-934-5515,1-806-934-5528,-101.975216,35.842221
La Quinta Inn & Suites Durango,"125 Mercury Village Dr,
Durango, CO 81303",1-970-259-8400,1-970-256-0990,-107.869085,37.239903
La Quinta Inn & Suites Durant,"417 Criswell Blvd,
Durant, OK 74701",1-580-924-2200,1-580-924-2220,-96.405721,34.001634
La Quinta Inn & Suites University Area Chapel Hill,"4414 Durham Chapel Hill Blvd,
Durham, NC 27707",1-919-401-9660,1-919-401-9661,-78.972184,35.964604
La Quinta Inn & Suites Raleigh/Durham Southpoint,"1910 Westpark Dr,
Durham, NC 27713",1-919-484-1422,1-919-484-1423,-78.891445,35.907959
La Quinta Inn Eagle Pass,"2525 E. Main St,
Eagle Pass, TX 78852-4498",1-830-773-7000,1-830-773-8852,-100.475012,28.709991
La Quinta Inn & Suites Eastland,"10150 IH 20,
Eastland, TX 76448",1-254-629-1414,1-254-629-2235,-98.791702,32.4005
La Quinta Inn & Suites Edgewood / Aberdeen-South,"2112B Emmorton Park Rd,
Edgewood, MD 21040",1-410-676-6969,1-410-676-6979,-76.309775,39.453739
La Quinta Inn & Suites Edmond,"200 Meline Dr.,
Edmond, OK 73034",1-405-513-5353,1-405-513-5354,-97.4283,35.65176
La Quinta Inn & Suites Effingham,"1103 Avenue of Mid America,
Effingham, IL 62401",1-217-540-1111,1-217-347-7341,-88.560206,39.139006
La Quinta Inn El Dorado,"2303 Junction City Rd,
El Dorado, AR 71730",1-870-863-6677,1-870-864-0709,-92.640297,33.197247
La Quinta Inn El Paso - Airport,"6140 Gateway Blvd E,
El Paso, TX 79905-2004",1-915-778-9321,1-915-779-1505,-106.40824,31.780982
La Quinta Inn & Suites El Paso West Bartlett,"7620 North Mesa,
El Paso, TX 79912",1-915-585-2999,1-915-585-1667,-106.567476,31.838966
La Quinta Inn El Paso Cielo Vista,"9125 Gateway West,
El Paso, TX 79925",1-915-593-8400,1-915-599-1268,-106.366363,31.766203
La Quinta Inn & Suites El Paso East,"7944 Gateway East,
El Paso, TX 79915",1-915-591-3300,1-915-591-3700,-106.346905,31.751991
La Quinta Inn El Paso East Lomaland,"11033 Gateway Blvd West,
El Paso, TX 79935-5003",1-915-591-2244,1-915-592-9300,-106.333346,31.745869
La Quinta Inn El Paso West,"7550 Remcon Circle,
El Paso, TX 79912-3513",1-915-833-2522,1-915-581-9303,-106.567593,31.837635
La Quinta Inn & Suites Elizabethtown,"210 Commerce Dr,
Elizabethtown, KY 42701",1-270-765-4747,1-270-765-7448,-85.832856,37.709165
La Quinta Inn & Suites Elk City,"2611 E Hwy 66,
Elk City, OK 73644",1-580-303-4536,1-580-303-4543,-99.37393,35.422829
La Quinta Inn & Suites Elkview - Charleston NE,"101 Crossing Shopping Mall,
Elkview, WV 25071",1-304-965-9200,1-304-965-9201,-81.500492,38.456907
La Quinta Inn & Suites White Plains - Elmsford,"540 Saw Mill River Rd,
Elmsford, NY 10523",1-914-592-3300,1-914-592-3381,-73.817392,41.07352
La Quinta Inn & Suites Ely,"1591 Great Basin Blvd,
Ely, NV 89301",1-775-289-8833,1-775-289-8834,-114.87072,39.2466
La Quinta Inn & Suites Emporia,"2930 Eaglecrest Drive,
Emporia, KS 66801",1-620-342-4445,1-620-208-6072,-96.218974,38.421794
La Quinta Inn & Suites Enid,"4914 W. Owen K Garriott Rd,
Enid, OK 73703",1-580-233-7100,1-580-233-7101,-97.938471,36.391411
La Quinta Inn & Suites Ennis,"110 South Sonoma Trail,
Ennis, TX 75119",1-972-875-4000,1-972-875-4030,-96.614224,32.336097
La Quinta Inn & Suites Erie,"7820 Perry Hwy,
Erie, PA 16509",1-814-864-1812,1-814-864,-80.041027,42.070789
La Quinta Inn & Suites Eugene,"155 Day Island Rd,
Eugene, OR 97401",1-541-344-8335,1-541-485-1644,-123.080698,44.05829
La Quinta Inn & Suites Evansville,"8015 East Division St,
Evansville, IN 47715",1-812-471-3414,1-812-471-4186,-87.454931,37.978519
La Quinta Inn Everett,"12619 4th Ave West,
Everett, WA 98204",1-425-347-9099,1-425-348-3048,-122.23404,47.88329
La Quinta Inn & Suites Fairbanks Airport,"4920 Dale Rd,
Fairbanks, AK 99709",1-907-328-6300,1-907-328-0914,-147.865998,64.824256
La Quinta Inn & Suites Fairborn Wright-Patterson,"2540 University Blvd.,
Fairborn, OH 45324",1-937-490-2000,1-937-431-0660,-84.064157,39.774836
La Quinta Inn & Suites Fairfield - Napa Valley,"316 Pittman Road,
Fairfield, CA 94534",1-707-864-3797,1-707-864-3897,-122.127576,38.219468
La Quinta Inn & Suites Fairfield,"38 Two Bridges Rd,
Fairfield, NJ 07004",1-973-575-1742,1-973-575-9567,-74.2733,40.89288
La Quinta Inn & Suites Fairfield,"1010 West Commerce St,
Fairfield, TX 75840",1-903-389-7441,1-903-389-7443,-96.177374,31.726433
La Quinta Inn & Suites Far Rockaway - JFK Airport,"4317 Rockaway Beach Blvd.,
Far Rockaway, NY 11692",1-718-925-4300,1-718-925-4301,-73.775194,40.593548
La Quinta Inn & Suites Fargo,"2355 46th St South,
Fargo, ND 58104",1-701-499-2000,1-701-499-2001,-96.863968,46.842647
La Quinta Inn Farmington,"675 Scott Ave,
Farmington, NM 87401",1-505-327-4706,1-505-325-6583,-108.191533,36.729928
La Quinta Inn & Suites Fayetteville,"720 E. Millsap Rd,
Fayetteville, AR 72703",1-479-587-8600,1-479-439-4725,-94.147177,36.115165
La Quinta Inn & Suites Festus,"1001 Veterans Blvd,
Festus, MO 63028",1-636-638-1800,1-636-638-2303,-90.403732,38.214334
La Quinta Inn & Suites Flagstaff,"2015 South Beulah
Blvd,
Flagstaff, AZ 86001",1-928-556-8666,1-928-214-9140,-111.663615,35.180382
La Quinta Inn & Suites Florence,"2123 West Lucas Street,
Florence, SC 29501",1-843-629-1111,1-843-946-9956,-79.804776,34.234608
La Quinta Inn & Suites Floresville,"1910 10th Street,
Floresville, TX 78114",1-830-542-3077,1-830-393-6688,-98.145322,29.134948
La Quinta Inn & Suites Forsyth,"400 Russell Parkway,
Forsyth, GA 31029",1-478-885-2500,1-478-885-2600,-83.940985,33.044017
La Quinta Inn Fort Collins ,"3709 East Mulberry St,
Fort Collins, CO 80524",1-970-493,1-970-493,-105.008447,40.580898
La Quinta Inn & Suites Fort Lauderdale Tamarac,"5070 North State Rd 7,
Fort Lauderdale, FL 33319",1-954-484-6909,1-954-731-2374,-80.202869,26.188224
La Quinta Inn & Suites Fort Myers Airport,"9521 Market Pl Rd,
Fort Myers, FL 33912",1-239-466-0012,1-239-466-0485,-81.79743,26.54926
La Quinta Inn Fort Myers Central,"4850 South Cleveland Ave,
Fort Myers, FL 33907-1320",1-239-275-3300,1-239-275-6661,-81.8722,26.59
La Quinta Inn & Suites Fort Smith,"6700 Boston St,
Fort Smith, AR 72903",1-479-484-0303,1-479-484-0305,-94.359042,35.354308
La Quinta Inn Fort Stockton,"1537 North Hwy 285,
Fort Stockton, TX 79735-8635",1-432-336-9781,1-432-336-3634,-102.908379,30.898494
La Quinta Inn & Suites Fort Walton Beach,"3 Miracle Strip Pkwy SW,
Fort Walton Beach, FL 32548",1-850-244-1500,1-850-244-1525,-86.613645,30.404151
La Quinta Inn & Suites Fort Worth Eastchase,"8250 Anderson Blvd,
Fort Worth, TX 76120",1-682-237-7519,1-888-709-5989,-97.174065,32.761208
La Quinta Inn & Suites Fort Worth - Lake Worth,"5800 Quebec St,
Fort Worth, TX 76135",1-817-237-9300,1-817-237-9002,-97.424719,32.802729
La Quinta Inn & Suites Fort Worth NE Mall,"653 N.E. Loop 820,
Hurst, TX 76053",1-817-595-4442,1-817-595-4443,-97.207912,32.82124
La Quinta Inn & Suites Fort Worth North,"4700 North Fwy,
Fort Worth, TX 76137",1-817-222-2888,1-817-222-2229,-97.31149,32.826286
La Quinta Inn & Suites Fort Worth City View,"4900 Bryant Irvin Rd,
Fort Worth, TX 76132-3616",1-817-370-2700,1-817-370-2733,-97.416347,32.678391
La Quinta Inn & Suites Fort Worth West - I-30,"7310 Calmont Avenue,
Fort Worth, TX 76116",1-817-244-4777,1-817-244-4771,-97.442961,32.734523
La Quinta Inn & Suites Fowler,"190 N. 10th Street,
Fowler, CA 93625",1-559-834-6300,1-559-834-6344,-119.683948,36.627923
La Quinta Inn & Suites Frankfort,"2150 W Holiday Rd,
Frankfort, IN 46041",1-765-659-4400,1-765-659-4064,-86.545326,40.277811
La Quinta Inn & Suites Fredericksburg,"1465 East Main St,
Fredericksburg, TX 78624",1-830-990-2899,1-830-990-2944,-98.849192,30.253999
La Quinta Inn & Suites Fremont / Silicon Valley,"46200 Landing Pkwy,
Fremont, CA 94538-6463",1-510-445-0808,1-510-445-1818,-121.944883,37.488862
La Quinta Inn & Suites Fresno Northwest,"5077 North Cornelia Ave,
Fresno, CA 93722",1-559-275-3700,1-559-275-3272,-119.880572,36.809946
La Quinta Inn & Suites Fresno Riverpark,"330 East Fir Ave,
Fresno, CA 93720",1-559-449-0928,1-559-449-1869,-119.7833294999,36.8394719
La Quinta Inn Fresno Yosemite,"2926 Tulare,
Fresno, CA 93721-1440",1-559-442-1110,1-559-237-0415,-119.780076,36.740459
La Quinta Inn & Suites Fruita,"570 Raptor Rd,
Fruita, CO 81521",1-970-858-8850,1-970-858-8849,-108.739489,39.153285
La Quinta Inn & Suites Ft. Lauderdale Airport,"2620 North 26th Ave,
Hollywood, FL 33020",1-954-922-2295,1-954-922-2995,-80.160383,26.036387
La Quinta Inn & Suites Ft Lauderdale Cypress Creek,"999 West Cypress Creek Rd,
Fort Lauderdale, FL 33309",1-954-491-7666,1-954-491-7669,-80.157355,26.203442
La Quinta Inn Ft. Lauderdale Northeast,"5727 North Federal Hwy,
Fort Lauderdale, FL 33308",1-954-491-2500,1-954-491-7945,-80.11096,26.19822
La Quinta Inn & Suites Ft. Lauderdale Plantation,"8101 Peters Rd,
Plantation, FL 33324",1-954-476-6047,1-954-476-6547,-80.255596,26.106215
La Quinta Inn Ft. Lauderdale Tamarac East,"3800 West Commercial Blvd,
Fort Lauderdale, FL 33309",1-954-485-7900,1-954-733-5469,-80.200029,26.186181
La Quinta Inn & Suites Ft. Myers - Sanibel Gateway,"20091 Summerlin Rd,
Fort Myers, FL 33908",1-239-466-1200,1-239-466-3797,-81.968744,26.493299
La Quinta Inn & Suites Ft. Pierce,"2655 Crossroads Pkwy,
Fort Pierce, FL 34945",1-772-828-4199,1-772-828-4180,-80.396533,27.417443
La Quinta Inn & Suites Ft. Wayne,"2902 East Dupont Rd,
Fort Wayne, IN 46825",1-260-490-7950,1-260-490-8741,-85.105537,41.178818
"La Quinta Inn & Suites Ft. Worth - Forest Hill, TX","3346 Forest Hill Circle,
Ft. Worth, TX 76140",1-817-293-5800,1-817-293-5803,-97.27201,32.659996
La Quinta Inn & Suites Fultondale Birmingham North,"1207 Boots Blvd,
Fultondale, AL 35068",1-205-949-8700,1-205-949-8701,-86.800624,33.611033
La Quinta Inn Gainesville,"920 Northwest 69th Terrace,
Gainesville, FL 32605",1-352-332-6466,1-352-332-7074,-82.416679,29.661696
La Quinta Inn & Suites Gainesville,"4201 North I-35,
Gainesville, TX 76240",1-940-665-5700,1-940-668-2200,-97.15279,33.6741
La Quinta Inn & Suites Gallup,"3880 East Hwy 66,
Gallup, NM 87301",1-505-722-2233,1-505-722-2885,-108.665584,35.531371
La Quinta Inn Galveston East Beach,"1402 Seawall Blvd,
Galveston, TX 77550-8199",1-409-763-1224,1-409-765-8663,-94.77983,29.296808
La Quinta Inn & Suites Garden City,"821 Stewart Ave,
Garden City, NY 11530",1-516-705-9000,1-516-705,-73.603514,40.733909
La Quinta Inn & Suites Garland Harbor Point,"375 E. I-30,
Garland, TX 75043",1-469-429-3339,1-469-429-3349,-96.573204,32.849749
La Quinta Inn & Suites Gillette,"450 E Boxelder Rd,
Gillette, WY 82718",1-307-686-6000,1-307-686-6001,-105.498311,44.27636
La Quinta Inn & Suites Glen Rose,"101 West BO Gibbs Blvd,
Glen Rose, TX 76043",1-254-898-0679,1-254-898-0686,-97.757828,32.238341
La Quinta Inn & Suites Glendive,"1717 N Merrill Avenue,
Glendive, MT 59330",1-406-377-7300,1-406-377-7248,-104.69671,47.12243
La Quinta Inn & Suites Gonzales,"1631 Water Street,
Gonzales, TX 78629",1-830-519-4255,1-830-519-4522,-97.462424,29.51254
La Quinta Inn & Suites Gonzales,"2816 S. Cabelas,
Gonzales, LA 70737",1-225-644-4726,1-225-644-4729,-90.950388,30.207711
La Quinta Inn & Suites Goodlettsville - Nashville,"120 South Cartwright Court,
Goodlettsville, TN 37072",1-615-851-1891,1-615-851-4513,-86.705931,36.322419
La Quinta Inn & Suites Granbury,"880 Harbor Lakes Dr,
Granbury, TX 76048",1-817-573-2007,1-817-573-2310,-97.765955,32.435192
La Quinta Inn & Suites Grand Forks,"4051 Garden View Drive,
Grand Forks, ND 58201",1-701-757-3600,1-701-757-3601,-97.086338,47.912884
La Quinta Inn & Suites Grand Junction,"2761 Crossroads Blvd,
Grand Junction, CO 81506",1-970-241-2929,1-970-241-2999,-108.541096,39.114512
La Quinta Inn & Suites Grants Pass,"243 Northeast Morgan Ln,
Grants Pass, OR 97526",1-541-472-1808,1-541-476-4175,-123.319409,42.461893
La Quinta Inn & Suites Great Falls,"600 River Dr South,
Great Falls, MT 59405",1-406-761-2600,1-406-761-2267,-111.307029,47.499039
La Quinta Inn & Suites Greensboro,"1201 Lanada Rd,
Greensboro, NC 27407",1-336-316-0100,1-336-316-0190,-79.893456,36.053709
La Quinta Inn & Suites Greenville Haywood,"65 West Orchard Park Dr,
Greenville, SC 29615",1-864-233-8018,1-864-233-2038,-82.3380069,34.8582288
La Quinta Inn & Suites Greenwood,"1281 South Park Dr.,
Greenwood, IN 46143",1-317-865-0100,1-317-885-8376,-86.075996,39.615588
La Quinta Inn & Suites Columbus - Grove City,"3962 Jackpot Rd,
Grove City, OH 43123",1-614-539-6200,1-614-539-6211,-83.045397,39.881083
La Quinta Inn & Suites Gun Barrel City,"210 Heritage Pkwy,
Gun Barrel City, TX 75156",1-903-887-2517,1-903-887-1957,-96.141529,32.333514
La Quinta Inn & Suites Guthrie,"406 Heather Road,
Guthrie, OK 73044",1-405-293-6000,1-405-293-9401,-97.395373,35.881398
La Quinta Inn & Suites Hammond,"42126 Veterans Avenue,
Hammond, LA 70403",1-985-345-4742,1-985-345-4739,-90.455997,30.468844
La Quinta Inn & Suites Harrisburg Airport Hershey,"990 Eisenhower Blvd,
Harrisburg, PA 17111",1-717-939-8000,1-717-939-0500,-76.804667,40.238827
La Quinta Inn & Suites Harrisburg-Hershey,"265 N. Hershey Road,
Harrisburg, PA 17112",1-717-566-7666,1-717-566-7667,-76.713731,40.351908
La Quinta Inn & Suites Hartford – Bradley Airport,"64 Ella Grasso Turnpike,
Windsor Locks, CT 06096",1-860-623-3336,1-860-627-6641,-72.672796,41.919471
La Quinta Inn & Suites Hattiesburg - I-59,"109 Lundy Lane,
Hattiesburg, MS 39401",1-769-223-6000,1-769-223-6001,-89.349724,31.327722
La Quinta Inn & Suites Helena,"701 Washington Street,
Helena, MT 59601",1-406-449-4000,1-406-449-4522,-112.003261,46.591605
La Quinta Inn & Suites Henderson-Northeast Denver,"9041 Brighton Road,
Henderson, CO 80640",1-303-301-1050,1-303-301-1053,-104.91057,39.861104
La Quinta Inn & Suites Hesperia Victorville,"12000 Mariposa Rd,
Hesperia, CA 92345",1-760-949-9900,1-760-949-1151,-117.346028,34.468909
La Quinta Inn & Suites Hickory,"1607 Fairgrove Church Rd,
Conover, NC 28613",1-828-465-1100,1-828-465-3090,-81.261841,35.700266
La Quinta Inn & Suites Hillsboro,"1513 Old Brandon Rd,
Hillsboro, TX 76645",1-254-580-1300,1-254-580-1301,-97.098284,32.017628
